Group,Task Number,Latency (Edge),Data Transmission Latency (Edge),Throughput (Edge)
7,Task 24,0.0016532659530639649,0.183105469,63617.85539135139
7,Task 25,0.00021916389465332031,0.000762939453,674.8592133970923
8,Task 1,0.0018133401870727539,6.7024231,4844650.806631869
8,Task 2,0.0551653003692627,61.1328125,48978718.48295923
8,Task 3,0.04615532398223877,30.5664062,26103150.1773964
8,Task 4,0.026642017364501953,30.5664062,23535163.32762837
8,Task 5,0.025716195106506346,15.3320312,89459491.8106559
8,Task 6,0.015426826477050782,15.3320312,364286.96781278105
8,Task 7,0.014893364906311036,7.71484375,219086.31827373247
8,Task 8,0.009099254608154297,7.71484375,379550.8373728978
8,Task 9,0.009181499481201172,3.90625,199096.32738416307
8,Task 10,0.006269478797912597,3.90625,331889.38811340113
8,Task 11,0.006476449966430664,1.953125,171888.62396806007
8,Task 12,0.004877967834472656,1.953125,281341.7263548001
8,Task 13,0.0055894279479980465,0.9765625,139410.7795377824
8,Task 14,0.004802231788635254,0.9765625,204163.701841718
8,Task 15,0.0045744991302490235,0.48828125,98819.56987505614
8,Task 16,0.0033839941024780273,0.48828125,131202.1771601511
8,Task 17,0.0037546014785766603,0.29296875,68701.12712295298
8,Task 18,0.0031407737731933595,0.29296875,79962.82080943222
8,Task 19,0.004032764434814453,0.1953125,55962.41090247274
8,Task 20,0.0036845111846923826,0.1953125,75650.25004403424
8,Task 21,0.0013919496536254883,0.000762939453,266.33985143453685
8,Task 22,0.0016359758377075195,0.0457763672,19103.57266483266
8,Task 23,0.0015348339080810548,0.0915527344,29756.263213405666
8,Task 24,0.0017023038864135741,0.183105469,65137.54144568771
8,Task 25,0.0002246379852294922,0.000762939453,718.4167885637158
9,Task 1,0.0017604827880859375,6.7024231,4990108.429035753
9,Task 2,0.05482339859008789,61.1328125,47796922.23954126
9,Task 3,0.0465041446685791,30.5664062,26846032.9321247
9,Task 4,0.026534876823425292,30.5664062,23681564.896615483
9,Task 5,0.025803275108337402,15.3320312,89425323.7820404
9,Task 6,0.015469107627868652,15.3320312,366558.81460864726
9,Task 7,0.014964656829833984,7.71484375,217442.98432032563
9,Task 8,0.009107556343078613,7.71484375,381083.35935718426
9,Task 9,0.008984537124633788,3.90625,198424.423973438
9,Task 10,0.005958466529846191,3.90625,330982.2468864313
9,Task 11,0.006111912727355957,1.953125,171069.74313612777
9,Task 12,0.004487786293029785,1.953125,281085.2772758853
9,Task 13,0.005267782211303711,0.9765625,142466.9943753138
9,Task 14,0.004261026382446289,0.9765625,214820.3725888918
9,Task 15,0.004211750030517578,0.48828125,104713.53707906544
9,Task 16,0.0031996965408325195,0.48828125,142609.28622960887
9,Task 17,0.0034881353378295897,0.29296875,72895.95214775683
9,Task 18,0.0029791116714477537,0.29296875,90119.1322311275
9,Task 19,0.0037461137771606446,0.1953125,60782.33469343393
9,Task 20,0.0034822750091552733,0.1953125,80007.58719868858
9,Task 21,0.001263432502746582,0.000762939453,286.68612400292545
9,Task 22,0.0016764259338378905,0.0457763672,20140.23192720463
9,Task 23,0.0014923620223999024,0.0915527344,32033.196837644806
9,Task 24,0.0016917800903320313,0.183105469,68920.46129872407
9,Task 25,0.00022472381591796874,0.000762939453,791.4945973180959
10,Task 1,0.0017656564712524414,6.7024231,4975486.536046559
10,Task 2,0.055603737831115725,61.1328125,47399201.02447803
10,Task 3,0.04652003765106201,30.5664062,26323880.24525423
10,Task 4,0.026668086051940917,30.5664062,23449837.21036679
10,Task 5,0.02573844909667969,15.3320312,89695582.92257267
10,Task 6,0.01573777198791504,15.3320312,361414.5520403185
10,Task 7,0.015373826026916504,7.71484375,217368.69767492873
10,Task 8,0.009619526863098145,7.71484375,379179.8174156575
