Group,Task Number,Latency (Server),Throughput (Server)
13,Task 7,0.0014797210693359374,4247957.994767775
13,Task 8,0.0011601543426513672,6085521.984199637
13,Task 9,0.0011999750137329103,2755635.973545693
13,Task 10,0.0009201526641845703,3325585.676101749
13,Task 11,0.0009500360488891601,1730055.787574117
13,Task 12,0.0008000469207763672,2206602.954353026
13,Task 13,0.0009799957275390624,1066688.8771443216
13,Task 14,0.0007600593566894531,1391073.514017723
13,Task 15,0.0008998966217041016,673658.6477411324
13,Task 16,0.0007198953628540039,799953.0819754205
13,Task 17,0.0008601331710815429,391838.44297391985
13,Task 18,0.0007397794723510742,505223.6994654822
13,Task 19,0.0008001184463500977,284477.12084441667
13,Task 20,0.0007800865173339844,355607.2357308923
13,Task 21,0.0003398418426513672,1162.6106673023512
13,Task 22,0.0006200456619262695,81105.251284299
13,Task 23,0.0004799509048461914,149977.79459704284
13,Task 24,0.0006599855422973632,307658.1823516467
13,Task 25,4.003524780273437e-05,2942.545250456012
14,Task 1,0.0004999160766601563,17572949.56123617
14,Task 2,0.003979434967041015,154092172.04269522
14,Task 3,0.002400937080383301,83481839.86089721
14,Task 4,0.0017592668533325194,80127694.33710352
14,Task 5,0.0019199228286743164,200792637.05750632
14,Task 6,0.0014299201965332032,5049963.164731088
14,Task 7,0.0015195274353027343,4211688.878737987
14,Task 8,0.0011201906204223633,5747848.872867229
14,Task 9,0.0011198997497558593,2666773.8533716477
14,Task 10,0.0009000587463378906,3580619.4026864436
14,Task 11,0.000999922752380371,1684734.3065510187
14,Task 12,0.0008201122283935547,2285325.330643067
14,Task 13,0.0009000921249389649,1142959.4481818955
14,Task 14,0.0006999635696411133,1422129.3945622921
14,Task 15,0.0008998584747314454,640049.4422958622
14,Task 16,0.0007000160217285156,780380.9988952846
14,Task 17,0.0008400344848632813,426622.997091591
14,Task 18,0.0006800937652587891,548599.9795630581
14,Task 19,0.000820150375366211,284489.18045296054
14,Task 20,0.0007798385620117188,365705.91537015344
14,Task 21,0.00023988723754882812,1190.4273193769584
14,Task 22,0.0005200004577636719,88223.12902275882
14,Task 23,0.0004799127578735352,146314.63156548332
14,Task 24,0.0005000019073486328,307756.00450031797
14,Task 25,0.0001000833511352539,4168.625268346983
15,Task 1,0.00030007362365722654,29276148.609566186
15,Task 2,0.0038608121871948242,111291058.76867647
15,Task 3,0.0023509979248046873,143142405.45172665
15,Task 4,0.0017394161224365235,55634475.59163565
15,Task 5,0.0017999935150146485,1004633291.8235995
15,Task 6,0.0014594554901123046,5205122.400579989
15,Task 7,0.0014398574829101562,4301152.244036995
15,Task 8,0.0010999107360839843,5813445.023054865
15,Task 9,0.0011599111557006837,2844454.6923594517
15,Task 10,0.0009400224685668945,3508157.689417454
15,Task 11,0.0008800411224365234,1777953.7422175123
15,Task 12,0.000860142707824707,2327461.5984878703
15,Task 13,0.0008603096008300781,1103532.7953430817
15,Task 14,0.0007398509979248047,1361669.5800382476
15,Task 15,0.0008999586105346679,727238.7433760661
15,Task 16,0.0007014894485473633,744062.5772652937
15,Task 17,0.0007984209060668946,446350.9411373462
15,Task 18,0.0007198476791381836,519023.4264427229
15,Task 19,0.0007799911499023437,284457.52616101946
15,Task 20,0.0006998729705810547,364937.77708292264
15,Task 21,0.00035993099212646486,1252.4722140933225
15,Task 22,0.0007199859619140625,83350.96679318773
15,Task 23,0.0002798891067504883,153847.8994473517
15,Task 24,0.0007201290130615235,342919.37264093093
15,Task 25,2.0003318786621095e-05,2778.310348025383
16,Task 1,9.9945068359375e-05,87898283.96946566
16,Task 2,0.004021224975585938,160284431.8011427
16,Task 3,0.0024201202392578123,69062130.81481847
16,Task 4,0.0017900800704956055,69088821.60313128
16,Task 5,0.0019197797775268555,167425578.38868585
16,Task 6,0.001479792594909668,4997482.140892101
16,Task 7,0.0015192461013793946,4178304.794930803
16,Task 8,0.001081390380859375,5648909.323480915
16,Task 9,0.00125856876373291,2666972.566299145
16,Task 10,0.0009000301361083984,3459944.3311260412
16,Task 11,0.0010799264907836914,1685046.2855725982
16,Task 12,0.0007399606704711914,2367322.703541696
16,Task 13,0.0009600925445556641,1017028.2601035838
16,Task 14,0.0007397985458374024,1422174.6013245033
16,Task 15,0.0008600950241088867,592632.9296131616
16,Task 16,0.0007799386978149414,864910.833156121
16,Task 17,0.0008218574523925781,399961.44348534365
16,Task 18,0.0008183813095092773,519060.22546359256
16,Task 19,0.0007399702072143554,297641.53125433123
16,Task 20,0.0007102441787719727,328230.92470883136
16,Task 21,0.00037990093231201174,1216.75601661677
16,Task 22,0.0004999113082885743,73315.45735810799
16,Task 23,0.0005801153182983398,162168.691158181
16,Task 24,0.0005798912048339843,337911.9564414665
16,Task 25,0.00012002944946289062,2632.265190596327
17,Task 1,9.992122650146485e-05,87919257.07468385
17,Task 2,0.003990893363952637,160238579.04242435
17,Task 3,0.0023603296279907228,69088253.49921471
17,Task 4,0.0017600011825561522,66768090.75723742
17,Task 5,0.0019694137573242187,251143356.12895536
17,Task 6,0.0011997461318969727,5035464.034573111
17,Task 7,0.0016999626159667968,4284147.383519496
17,Task 8,0.001139826774597168,5745450.685046559
17,Task 9,0.0010999679565429688,2599758.42098127
17,Task 10,0.000940098762512207,4267569.499811212
17,Task 11,0.0010000371932983399,1505915.4689375835
17,Task 12,0.000799856185913086,2245955.3127313955
17,Task 13,0.0009203338623046875,1163670.261834576
17,Task 14,0.0007812213897705078,1361559.0734099913
17,Task 15,0.0008386468887329101,639976.1971743681
17,Task 16,0.0007400941848754882,800143.839944677
17,Task 17,0.0008400249481201172,417239.89057448396
17,Task 18,0.0008400821685791015,491538.00065920386
17,Task 19,0.0008400249481201172,305253.62156507105
17,Task 20,0.0007198667526245118,345901.92063604563
17,Task 21,0.00032155513763427735,1190.4408342131853
17,Task 22,0.0005000543594360352,71421.58498790996
17,Task 23,0.0005798959732055665,142852.90010558223
17,Task 24,0.0006000471115112305,333395.0333516596
17,Task 25,8.001804351806641e-05,3109.8865574256693
18,Task 1,9.9945068359375e-05,87898283.96946566
18,Task 2,0.0038409423828125,114419966.53752136
18,Task 3,0.002470288276672363,100157707.57200076
18,Task 4,0.001719675064086914,58946307.083774745
18,Task 5,0.0019004011154174804,502256782.1713741
18,Task 6,0.001419515609741211,5232049.324646433
18,Task 7,0.001629638671875,4093449.374103622
18,Task 8,0.0010202836990356446,5880180.628989413
18,Task 9,0.0011198616027832031,2694168.0671847207
18,Task 10,0.0008799552917480469,3606864.1759659247
18,Task 11,0.0010001087188720704,1570900.3745318353
18,Task 12,0.0007799148559570312,2509106.048072384
18,Task 13,0.0008999967575073242,1142998.3819597024
18,Task 14,0.0007799386978149414,1454619.35623713
18,Task 15,0.0007614755630493164,639930.4274857203
18,Task 16,0.0007588386535644532,820602.3966740035
18,Task 17,0.0008398723602294921,426668.2038539178
18,Task 18,0.0007800626754760743,492346.387063247
18,Task 19,0.0008800792694091797,336189.38337935915
18,Task 20,0.0007198286056518554,337357.6171924092
18,Task 21,0.0003000020980834961,1190.657113334166
18,Task 22,0.0007002973556518555,76916.89640628152
18,Task 23,0.0004000091552734375,136351.35398719157
18,Task 24,0.0006796693801879882,333412.7014619864
18,Task 25,4.001140594482422e-05,3333.310021457522
19,Task 1,0.00030009746551513673,29273822.705966473
19,Task 2,0.0038608407974243166,119843239.73270002
19,Task 3,0.0024604701995849607,77016424.11864997
19,Task 4,0.0017195558547973633,60583551.01705304
19,Task 5,0.0019395685195922852,1005112487.2883377
19,Task 6,0.0013801288604736329,5205083.828736644
19,Task 7,0.0014998912811279297,4109783.5697037587
19,Task 8,0.0010797691345214844,5880588.276204394
19,Task 9,0.0011601209640502929,2639762.3740955903
19,Task 10,0.0008599662780761719,3709798.5171057996
19,Task 11,0.0009300279617309571,1706790.3735495151
19,Task 12,0.0007601165771484375,2370877.17934677
19,Task 13,0.0008800745010375977,1103333.2209868678
19,Task 14,0.0007400894165039062,1488430.4566726552
19,Task 15,0.0007601690292358399,688151.3527924898
19,Task 16,0.0007200336456298828,841976.111612968
19,Task 17,0.0007999515533447265,436326.69682767586
19,Task 18,0.0006199455261230468,518856.22390598425
19,Task 19,0.0008798646926879883,336767.20591648424
19,Task 20,0.0006797933578491211,355538.94120607676
19,Task 21,0.0003200054168701172,1250.0757024832799
19,Task 22,0.0006686067581176758,96782.69698181708
19,Task 23,0.0005202007293701172,136384.60663013966
19,Task 24,0.0006613016128540039,353048.462784874
19,Task 25,1.999378204345703e-05,3124.947101773208
20,Task 1,0.0002001047134399414,43902014.34528774
20,Task 2,0.0039821815490722655,154042732.36590979
20,Task 3,0.002518949508666992,80133043.77449906
20,Task 4,0.0016595983505249023,77070114.7773762
20,Task 5,0.0019798374176025393,334718184.3539036
20,Task 6,0.001499924659729004,5046480.114569812
20,Task 7,0.001549663543701172,4014371.850331843
20,Task 8,0.0010800409317016603,6093040.522004466
20,Task 9,0.0012403249740600586,2586070.9341477156
20,Task 10,0.0008798122406005859,3413504.7829169272
20,Task 11,0.0009399652481079102,1651971.4943320984
